,kind,link,name,pitch,joined,location,market,size,stage,raised,website
73,Startup,https://angel.co/company/dmetrics,dMetrics,"
AI for everyone
",Sep ’16,New York City,Machine Learning,11-50,Seed,"$7,930,000",dmetrics.com
74,Startup,https://angel.co/company/infermedica,Infermedica,"
AI-driven digital health company specialized in tools for preliminary diagnosis and triage
",Sep ’13,Wrocław,Mobile Health,51-200,Seed,"$3,650,000",infermedica.com
75,Startup,https://angel.co/company/mahmee,Mahmee,"
Mapping the Maternal Healthcare Ecosystem
",Oct ’15,Los Angeles,Women-Focused,11-50,Seed,"$4,005,000",mahmee.com
76,Startup,https://angel.co/company/picnichealth,PicnicHealth,"
Own Your Health. Advance Medicine
",Mar ’14,San Francisco,Healthcare Services,11-50,,"$2,000,000",picnichealth.com
77,Startup,https://angel.co/company/ava-me,Ava Accessibility,"
Live subtitles for any conversation. enjoy 24/7 access to conversations around you
",Mar ’14,San Francisco,Communications Hardware,11-50,-,"$1,845,000",ava.me
78,Startup,https://angel.co/company/careskore-1,CareSkore,"
Personalized Population Health Management
",Jan ’15,San Francisco,Predictive Analytics,11-50,Seed,"$4,300,000",careskore.com
79,Startup,https://angel.co/company/aira,Aira,"
Visual Interpreter
",May ’15,San Diego,Assisitive Technology,11-50,Seed,"$4,080,000",aira.io
80,Startup,https://angel.co/company/zenysis,Zenysis,"
Advanced analytics for developing countries
",Mar ’16,San Francisco,International Development,11-50,Series A,"$8,003,365",zenysis.com
81,Startup,https://angel.co/company/dna-guide,DNA Guide,"
Mapping the Genome
",Aug ’11,San Francisco,Bioinformatics,1-10,Seed,"$25,000",dnaguide.com
82,Startup,https://angel.co/company/handle-my-health,Handle My Health,"
Reclaim your health
",Jun ’12,London,Internet of Things,1-10,Acquired,"$404,882",handlemyhealth.com
83,Startup,https://angel.co/company/treatspace,Treatspace,"
Enterprise health networks for practices and hospitals
",Feb ’14,Pittsburgh,Mobile Health,1-10,Seed,"$25,000",treatspace.com
84,Startup,https://angel.co/company/sweatguru,SweatGuru,"
Bringing people together around fitness 
",Oct ’12,San Francisco,Fitness,1-10,Seed,"$500,000",sweatguru.com
85,Startup,https://angel.co/company/i-deed-it,I Deed It,"
creative platform for employee engagement
",Jan ’13,Sofia,Human Resources,1-10,Seed,"$95,000",ideedit.com
86,Startup,https://angel.co/company/open-health-network,Open Health Network,"
Powered by AI,Big Data & Blockchain Patient Experience Management Platform
",Mar ’13,Los Altos,Mobile Health,11-50,Pre-Seed,"$500,000",openhealth.cc
87,Startup,https://angel.co/company/klinify,klinify,"
Digital Medical Assistant 
",Feb ’13,Singapore,Mobile Health,11-50,Acquired,"$605,000",klinify.com
88,Startup,https://angel.co/company/rippedathlete,RippedAthlete,"
Custom Weekly Meal Plans and Shopping Lists
",Mar ’13,New York City,Fitness,1-10,Seed,"$10,000",rippedathlete.com
89,Startup,https://angel.co/company/insample,InSample,"
Intelligence for Health Outcomes
",Mar ’13,San Francisco,SaaS,1-10,Seed,"$50,000",insample.com
90,Startup,https://angel.co/company/you-app,Fifth Corner Inc.,"
Wellbeing and performance coaching for modern organizations
",Mar ’13,Helsinki,B2B,1-10,Seed,"$550,000",fifthcornerinc.com
91,Startup,https://angel.co/company/operating-analytics,Operating Analytics,"
Forecasting SaaS to help hospitals do more surgeries
",Mar ’13,Cambridge,Hospitals,1-10,Seed,"$50,000",operatinganalytics.com
92,Startup,https://angel.co/company/protocolsioplatform,protocols.io,"
The #1 platform for designing and publishing science methods
",Apr ’13,Berkeley,Biotechnology,11-50,Seed,"$780,000",protocols.io
93,Startup,https://angel.co/company/lynxfit,LynxFit (Pivot),"
EXPERT & DATA DRIVEN FITNESS
",Oct ’13,Washington DC,Fitness,1-10,Seed,"$70,000",lynxfit.com
94,Startup,https://angel.co/company/swan-sleep-solutions,SWAN Sleep Solutions,"
Corporate Wellness Rests on Sleep
",Dec ’13,Mountain View,Corporate Wellness,1-10,Seed,"$100,000",SwanMedical.com
95,Startup,https://angel.co/company/nuvenote,Nuvenote,"
Intuitive appointment notes for doctors
",Feb ’14,Paris,Mobile Health,1-10,Seed,"$50,000",nuvenote.com
96,Startup,https://angel.co/company/zakipoint-health,zakipoint health,"
improve value from healthcare program spend for self-funded employers
",Feb ’14,Cambridge,Big Data Analytics,1-10,Seed,"$610,000",zakipointhealth.com
97,Startup,https://angel.co/company/doctorkepaas,DoctorKePaas,"
Clinical Assistance Platform for Healthcare Professionals
",Apr ’15,Noida,SaaS,1-10,,"$45,000",doctorkepaas.com
98,Startup,https://angel.co/company/superdoc-app-ask-a-doctor,Superdoc,"
Instant Doctor Chat 24*7 for taboo issues related to sexual & mental health
",Aug ’15,San Francisco,Mobile Health,11-50,Seed,"$62,000",play.google.com
99,,,,,,,,,,,
100,Startup,https://angel.co/company/drchrono,DrChrono,"
On a mission to fix healthcare
",Feb ’11,Sunnyvale,Medical Devices,51-200,Series A,"$48,725,000",drchrono.com
101,Startup,https://angel.co/company/classpass,ClassPass,"
One app for the best fitness classes
",Jul ’11,Sydney,Fitness,501-1000,Series C,"$84,000,000",classpass.com
102,Startup,https://angel.co/company/fabricgenomics,Fabric Genomics,"
Global healthcare platform for genomics-driven precision medicine, proven AI algorithms
",Jul ’13,Oakland,Bioinformatics,11-50,Series B,"$23,000,000",fabricgenomics.com
103,Startup,https://angel.co/company/chewse,Chewse,"
Provides hassle-free, locally-sourced, delicious food, delivered straight to your door
",Jan ’12,Austin,Hospitality,51-200,Series B,"$16,000,000",chewse.com
104,Startup,https://angel.co/company/syapse,Syapse,"
Powering precision medicine with insights from a global oncology network
",Feb ’12,Radnor,Bioinformatics,51-200,Series C,"$59,500,000",syapse.com
105,Startup,https://angel.co/company/omada-health-1,Omada Health,"
Omada® empowers people to achieve their health goals, one step at a time
",Sep ’13,San Francisco,Therapeutics,201-500,Series C,"$71,000,000",omadahealth.com
106,Startup,https://angel.co/company/lark-3,Lark,"
Lark's AI digital care platform enables virtual management of diabetes and heart disease
",Jun ’13,Silicon Valley,Consumer Electronics,51-200,Series C,"$71,700,000",lark.com
107,Startup,https://angel.co/company/myfitnesspal,MyFitnessPal,"
Nutrition and fitness tracking
",Apr ’12,San Francisco,Fitness,51-200,Acquired,"$18,000,000",myfitnesspal.com
108,Startup,https://angel.co/company/onehealth-solutions,OneHealth Solutions,"
Social peer support platform to improve health outcomes
",May ’12,Solana Beach,Social Media Platforms,11-50,Acquired,"$16,000,000",onehealth.com
109,Startup,https://angel.co/company/humanapi,Human API,"
The easiest way for consumers to connect & share health data with any company
",May ’13,San Mateo,Real Time,11-50,Series A,"$16,624,982",humanapi.co
110,Startup,https://angel.co/company/babyscripts-by-1eq,Babyscripts,"
Virtual Care for Obstetrics
",Mar ’13,Washington DC,Hospitals,11-50,Series A,"$19,000,000",babyscripts.com
111,Startup,https://angel.co/company/kinsa,Kinsa,"
The world's smartest thermometer
",Apr ’13,San Francisco,Mobile Health,11-50,Series B,"$28,600,000",kinsahealth.com
112,Startup,https://angel.co/company/kannact,Kannact,"
Enterprise solution for home based patient monitoring and patient engagement
",Jun ’13,Portland,Mobile Health,1-10,,"$166,500,000",kannact.com
113,Startup,https://angel.co/company/station-x,Station X,"
Decoding genomes for better healthcare
",Oct ’13,San Francisco,Diagnostics,11-50,Series A,"$15,875,000",stationxinc.com
114,Startup,https://angel.co/company/soothe,Soothe,"
Massage Delivered To You
",Jun ’14,Los Angeles,,1-10,Series B,"$47,300,000",soothe.com
115,Startup,https://angel.co/company/amino-inc,Amino,"
Amino is a healthcare financial wellness benefit for mid-sized and large employers
",Apr ’14,San Francisco,Small and Medium Businesses,11-50,Seed,"$46,150,000",amino.com
116,Startup,https://angel.co/company/oscar-insurance,Oscar Health,"
Helping you save time and money, by providing high quality, affordable health plans
",Jun ’14,Tempe,Insurance,1001-5000,,"$1,267,500,000",hioscar.com
117,Startup,https://angel.co/company/whoop,WHOOP,"
Whoop is a performance optimization system for elite athletes and teams
",Jul ’15,Boston,Fitness,51-200,Series C,"$47,000,000",whoop.com
118,Startup,https://angel.co/company/heal,Every.org,"
On-demand doctor house calls
",Oct ’14,-,Sharing Economy,51-200,Series B,"$48,200,000",heal.com
119,Startup,https://angel.co/company/luma-health,Luma Health,"
Total patient engagement with Luma Health
",Mar ’15,San Francisco,Doctors,51-200,-,"$29,100,000",lumahealth.io
120,Startup,https://angel.co/company/cureatr,Cureatr,"
Mobile Care Coordination
",Jun ’14,New York City,Health Care Information Technology,11-50,Series A,"$6,125,000",cureatr.com
121,Startup,https://angel.co/company/carelinx,CareLinx,"
Caregiver Marketplace:  Disrupting the $100B+ in-home care market. AARP Winner!
",May ’12,San Francisco,Baby Boomers,1-10,Acquired,"$7,000,000",carelinx.com
122,Startup,https://angel.co/company/fit3d,Fit3D,"
Using 3D scanners, resulting data, and predictive AI solutions to solve massive problems
",Feb ’13,San Mateo,Fitness,11-50,Seed,"$5,390,000",fit3d.com
123,Startup,https://angel.co/company/acupera,Acupera,"
Population Health Platform
",Mar ’13,San Francisco,Health Care Information Technology,11-50,Series A,"$4,000,000",acupera.com
124,Startup,https://angel.co/company/rubiconmd,RubiconMD,"
Expert insights and better care. eConsults that connect clinicians to top specialists
",Mar ’13,New York City,Mobile Health,11-50,Series A,"$5,300,000",rubiconmd.com
125,Startup,https://angel.co/company/transitscreen,TransitScreen,"
Helping corporate workplaces enhance the commute experience
",May ’13,Washington DC,Corporate Wellness,11-50,Closed,"$4,475,000",transitscreen.com
126,Startup,https://angel.co/company/wecounsel,WeCounsel,"
Telemedicine Software Service With An Emphasis In Mental Health
",May ’13,Chattanooga,Mental Health,1-10,Series A,"$4,400,000",wecounsel.com
127,Startup,https://angel.co/company/livesafe,LiveSafe,"
",Sep ’13,-,Sports Stadiums,11-50,Series A,"$15,750,000",livesafemobile.com
128,Startup,https://angel.co/company/madaket-health,Madaket Health,"
Connecting healthcare providers, insurance companies and intermediaries
",Dec ’14,Cambridge,B2B,11-50,Series B,"$10,000,000",madakethealth.com
129,Startup,https://angel.co/company/opternative,Visibly,"
The most convenient way to get a prescription for glasses or contacts
",Aug ’13,Chicago,Eyewear,11-50,Series A,"$9,100,000",govisibly.com
130,Startup,https://angel.co/company/solvebio,SolveBio,"
Genomic Intelligence Platform
",Nov ’13,New York City,Bioinformatics,1-10,Seed,"$3,900,000",solvebio.com
131,Startup,https://angel.co/company/volt-athletics,Volt Athletics,"
The first performance training AI for everyone
",Sep ’13,Seattle,Fitness,11-50,Seed,"$3,791,474",voltathletics.com
132,Startup,https://angel.co/company/bright-md,Bright.md,"
Automating $150 billion of care delivery
",Dec ’13,Portland,Mobile Health,11-50,Series B,"$11,500,000",bright.md
133,Startup,https://angel.co/company/erelevance,eRelevance,"
Progressive Patient Engagement Service for Healthcare Providers
",Jan ’14,Austin,Health Care Information Technology,1-10,Seed,"$7,200,000",erelevencecorp.com
134,Startup,https://angel.co/company/doctible,Doctible,"
Helping private practices to grow and thrive by driving patient retention
",Jan ’14,San Diego,SaaS,51-200,Seed,"$4,200,000",doctible.com
135,Startup,https://angel.co/company/8fit,8fit,"
Building healthy habits for life
",Feb ’14,Berlin,Fitness,51-200,Series A,"$9,500,000",8fit.com
136,Startup,https://angel.co/company/docsapp,DocsApp,"
Making quality healthcare easily accessible to over a billion people! 
",Oct ’15,Bengaluru,Artificial Intelligence,201-500,Series A,"$8,400,000",docsapp.in
137,Startup,https://angel.co/company/chai,Chai,"
A biological testing lab on your desktop
",Dec ’14,Santa Clara,Medical Devices,11-50,Seed,"$5,000,000",chaibio.com
138,Startup,https://angel.co/company/peerwell,PeerWell,"
Surgery Optimization Platform for Musculoskeletal Health
",Feb ’15,Austin,Medical Technologies,11-50,Series A,"$8,600,000",peerwell.co
139,Startup,https://angel.co/company/aira,Aira,"
Visual Interpreter
",May ’15,San Diego,Assisitive Technology,11-50,Seed,"$4,080,000",aira.io
140,Startup,https://angel.co/company/titanfile,TitanFile,"
The easiest and most comprehensive way to correspond and share files in total security
",May ’11,Toronto,Insurance,1-10,Seed,"$1,350,000",titanfile.com
141,Startup,https://angel.co/company/care-at-hand,Care at Hand,"
Predictive Analytics Powered by Non-medical Staff
",Nov ’11,San Francisco,Mobile Health,1-10,Acquired,"$1,350,000",careathand.com
142,Startup,https://angel.co/company/dorsata,Dorsata,"
Driving better clinical decisions that are informed by patient data and best practices
",Oct ’13,Washington DC,Health Care Information Technology,1-10,Seed,"$1,745,000",dorsata.com
143,Startup,https://angel.co/company/watsi,Watsi,"
Building technology to finance healthcare for everyone
",Jul ’13,Remote,Crowdfunding,11-50,Seed,"$1,200,000",watsi.org
144,Startup,https://angel.co/company/digitalmr,DigitalMR,"
Next Generation Market Research
",Mar ’14,London,Fast-Moving Consumer Goods,11-50,Seed,"$1,020,000",digital-mr.com
145,Startup,https://angel.co/company/nurep,Nurep,"
Telesurgery - Stanford StartX Med
",Mar ’13,Palo Alto,Medical Devices,1-10,Seed,"$1,800,000",nurep.com
146,Startup,https://angel.co/company/crowdmed,CrowdMed,"
CrowdMed empowers anyone to solve medical mysteries
",Oct ’12,San Francisco,Crowdsourcing,1-10,Seed,"$3,145,000",crowdmed.com
147,Startup,https://angel.co/company/movecoach,Runcoach,"
The real person app
",Dec ’12,Burlingame,Corporate Wellness,11-50,Seed,"$1,000,000",runcoach.com
148,Startup,https://angel.co/company/benefitter,Benefitter,"
Fidelity for Healthcare
",Nov ’12,San Francisco,Insurance,11-50,Seed,"$2,700,000",benefitter.com
149,Startup,https://angel.co/company/sense-health,Sense Health,"
Smart communication designed for healthcare
",Dec ’12,New York City,Mobile Health,11-50,Seed,"$2,000,000",sensehealth.com
150,Startup,https://angel.co/company/quietyme-2,Quietyme,"
We are a platform for smart sensors in Hospitals, Hotels and Residential Apartments
",Jan ’13,Madison,Hospitality,1-10,,"$1,300,000",quietyme.com
151,Startup,https://angel.co/company/rise-2,Rise,"
Affordable & effective 1:1 nutrition coaching
",Oct ’13,San Francisco,,1-10,Acquired,"$2,300,000",rise.us
152,Startup,https://angel.co/company/telepharm,TelePharm,"
Telemedicine platform for pharmacies (and everyone)
",Oct ’13,Iowa City,Video Chat,11-50,-,"$2,500,000",telepharm.com
153,Startup,https://angel.co/company/goodmouth,GoodMouth,"
Oral Care. Delivered
",Jun ’14,New York City,Subscription Businesses,1-10,Seed,"$1,005,000",goodmouth.com
154,Startup,https://angel.co/company/amstatz,amSTATZ,"
Cloud-based software for personal trainers and studios
",Feb ’14,Chicago,Fitness,11-50,Seed,"$1,450,000",amstatz.com
155,Startup,https://angel.co/company/proofpilot,ProofPilot,"
Democratizing research tools to determine what works to improve health
",Apr ’14,Lviv,Clinical Trials,11-50,,"$3,450,000",proofpilot.com
156,Startup,https://angel.co/company/iscribes,iScribes,"
Medical documentation for the modern physician
",Jul ’15,Durham,SaaS,51-200,Seed,"$1,040,000",iscribes.co
157,Startup,https://angel.co/company/nursegrid,NurseGrid,"
Scheduling and Staffing Technology Built for Nurses
",Sep ’14,Portland,Hospitals,11-50,Seed,"$3,760,000",nursegrid.com
