startupName,homepage_url,category_list,total_funding,status,country_code,state_code,funding_rounds,first_funding_at,last_funding_at,homepage_url_code,time_delayFor_first_round,average_time_delay_rounds,average_raised_usd,average_time_delay_rounds_number,time_delayFor_first_round_number,statusCode,No_Of_Investors,MainCategory,USA_Region
"Icagen, Inc.",http://www.icagen.com,biotechnology,14672950,operating,USA,MA,4,5/19/2011,1/8/2015,1,711 days 00:00:00.000000000,443 days 08:00:00.000000000,3668237.5,443,711,1,1,biotech,Northeast
Calera,http://www.calera.com,clean technology|energy|recycling,45500000,operating,USA,CA,3,3/22/2010,12/14/2011,1,122 days 00:00:00.000000000,316 days 00:00:00.000000000,15166666.67,316,122,0,2,technology,West
Calhoun Vision,http://www.calhounvision.com/world.htm,health care,95375917,operating,USA,CA,5,8/27/2010,6/4/2015,1,423 days 00:00:00.000000000,435 days 12:00:00.000000000,19075183.4,435,423,1,4,healthcare,West
Calibra Medical,,biotechnology,54800000,acquired,USA,CA,5,8/1/2008,4/15/2011,0,480 days 00:00:00.000000000,246 days 18:00:00.000000000,10960000,246,480,1,5,biotech,West
Calibrus,http://www.calibrus.com,enterprise software,975000,operating,USA,AZ,2,10/20/2009,5/15/2014,1,1668 days 00:00:00.000000000,1668 days 00:00:00.000000000,487500,1668,1668,1,1,software,West
Calico Energy Services,http://www.calicoenergy.com,software,6014820,operating,USA,WA,3,4/5/2011,9/11/2012,1,44 days 00:00:00.000000000,262 days 12:00:00.000000000,3007410,262,44,0,1,software,West
California Stem Cell,http://www.californiastemcell.com,biotechnology,1950000,acquired,USA,CA,2,12/21/2009,2/7/2012,1,778 days 00:00:00.000000000,778 days 00:00:00.000000000,1950000,778,778,1,1,biotech,West
Calistoga Pharmaceuticals,http://www.calistogapharma.com,biotechnology|medical|pharmaceuticals,97200000,acquired,USA,WA,5,3/5/2007,6/30/2010,1,304 days 00:00:00.000000000,303 days 06:00:00.000000000,19440000,303,304,1,8,pharma,West
Calithera Biosciences,http://www.calithera.com,biotechnology,104999998,ipo,USA,CA,6,7/8/2010,7/31/2014,1,633 days 00:00:00.000000000,296 days 19:12:00.000000000,17499999.67,296,633,1,6,biotech,West
Call Loop,http://www.callloop.com,messaging|mobile|small and medium businesses,180000,operating,USA,FL,2,8/30/2011,9/25/2011,1,26 days 00:00:00.000000000,26 days 00:00:00.000000000,90000,26,26,0,2,mobile,South
Callidus Biopharma,http://callidusbiopharma.com,biotechnology,6211154,acquired,USA,PA,2,7/3/2012,5/14/2013,1,315 days 00:00:00.000000000,315 days 00:00:00.000000000,3105577,315,315,1,1,biotech,Northeast
Callinize,http://callinize.com,crm|customer service|mobile|sales and marketing|telecommunications,2110000,operating,USA,CA,2,6/15/2015,10/1/2015,1,108 days 00:00:00.000000000,108 days 00:00:00.000000000,1055000,108,108,1,2,mobile,West
Callision,http://www.callision.com,cloud data services|communications hardware|customer service|software|tech field support|virtual workforces,250000,operating,USA,NY,2,3/15/2011,4/6/2012,1,388 days 00:00:00.000000000,388 days 00:00:00.000000000,125000,388,388,0,2,software,Northeast
CallsFreeCalls,http://cfc.io,mobile,2004300,operating,USA,FL,3,4/1/2012,11/15/2013,1,275 days 00:00:00.000000000,296 days 12:00:00.000000000,668100,296,275,1,2,mobile,South
Calosyn Pharma,http://calosynpharma.com,biotechnology,2173077,operating,USA,GA,2,4/13/2010,2/29/2012,1,687 days 00:00:00.000000000,687 days 00:00:00.000000000,1086538.5,687,687,0,1,biotech,South
CalStar Products,http://calstarproducts.com,clean technology,33040000,operating,USA,NC,3,11/3/2008,3/6/2015,1,480 days 00:00:00.000000000,1157 days 00:00:00.000000000,11013333.33,1157,480,1,5,technology,South
Calxeda,http://www.calxeda.com,application platforms|data centers|software,131750000,operating,USA,TX,5,8/16/2010,10/9/2012,1,350 days 00:00:00.000000000,196 days 06:00:00.000000000,26350000,196,350,0,7,software,South
Calypso Medical,http://www.calypsomedical.com,health care,102569484,acquired,USA,WA,4,1/8/2007,3/4/2011,1,835 days 00:00:00.000000000,505 days 08:00:00.000000000,25642371,505,835,1,11,healthcare,West
Calysta Energy,http://calystaenergy.com,biotechnology,18000000,operating,USA,CA,3,5/23/2011,1/22/2015,1,933 days 00:00:00.000000000,670 days 00:00:00.000000000,6000000,670,933,1,3,biotech,West
Cambrian Genomics,http://cambriangenomics.com,biotechnology,10000000,operating,USA,CA,3,7/1/2012,11/20/2014,1,437 days 00:00:00.000000000,436 days 00:00:00.000000000,5000000,436,437,1,8,biotech,West
Cambridge Endoscopic Devices,http://cambridgeendo.com,health care,9105809,operating,USA,MA,5,7/9/2009,1/6/2014,1,209 days 00:00:00.000000000,410 days 12:00:00.000000000,1821161.8,410,209,1,1,healthcare,Northeast
Cambridge Heart,http://www.cambridgeheart.com,health care,7200000,ipo,USA,MA,3,12/28/2009,1/18/2012,1,358 days 00:00:00.000000000,375 days 12:00:00.000000000,2400000,375,358,1,1,healthcare,Northeast
Cameron Health,http://www.cameronhealth.com,health care,158500000,acquired,USA,CA,2,6/17/2008,5/18/2011,1,1065 days 00:00:00.000000000,1065 days 00:00:00.000000000,79250000,1065,1065,1,7,healthcare,West
CampaignerCRM,http://www.campaignercrm.com,crm|software,9666667,operating,USA,MA,2,1/27/2010,11/15/2010,1,292 days 00:00:00.000000000,292 days 00:00:00.000000000,4833333.5,292,292,0,2,software,Northeast
Campalyst,http://www.campalyst.com,analytics|e-commerce|enterprise software|facebook applications|social media management|twitter applications,100000,operating,USA,NY,2,7/1/2011,3/27/2012,1,270 days 00:00:00.000000000,270 days 00:00:00.000000000,13025387.42,270,270,0,2,e-commerce,Northeast
CamPlex,,health and wellness|health care|medical,4298066,operating,USA,TN,2,4/10/2014,8/6/2015,0,483 days 00:00:00.000000000,483 days 00:00:00.000000000,2149033,483,483,1,1,pharma,South
Campus Quad,http://www.campusquad.co,education|mobile,6900000,operating,USA,CA,3,10/30/2013,2/2/2015,1,293 days 00:00:00.000000000,230 days 00:00:00.000000000,2300000,230,293,1,3,mobile,West
Canary,http://canary.is,crowdfunding|hardware + software|home automation|security|startups,41200000,operating,USA,NY,3,8/1/2013,6/1/2015,1,216 days 00:00:00.000000000,334 days 12:00:00.000000000,13733333.33,334,216,1,10,software,Northeast
Cancer Prevention Pharmaceuticals,http://canprevent.com,biotechnology,6072500,operating,USA,AZ,3,8/17/2009,10/31/2013,1,569 days 00:00:00.000000000,768 days 00:00:00.000000000,2024166.667,768,569,1,1,biotech,West
Candescent Eye Holdings,,health and wellness,12000000,operating,USA,MA,2,9/26/2011,5/28/2015,0,1340 days 00:00:00.000000000,1340 days 00:00:00.000000000,6000000,1340,1340,1,1,healthcare,Northeast
CanDiag,http://www.candiaginc.com,biotechnology,961000,operating,USA,NC,2,10/11/2012,9/12/2013,1,336 days 00:00:00.000000000,336 days 00:00:00.000000000,480500,336,336,1,1,biotech,South
Canesta,http://www.canesta.com,hardware + software,34000000,acquired,USA,CA,3,8/30/2005,10/21/2009,1,743 days 00:00:00.000000000,756 days 12:00:00.000000000,11333333.33,756,743,1,8,software,West
Cangrade,http://www.cangrade.com,human resources|software,550000,operating,USA,MA,2,3/21/2012,1/1/2014,1,651 days 00:00:00.000000000,651 days 00:00:00.000000000,275000,651,651,1,4,software,Northeast
Cannae,http://cannae.com,software,403000,operating,USA,PA,2,3/16/2010,8/8/2012,1,876 days 00:00:00.000000000,876 days 00:00:00.000000000,201500,876,876,0,1,software,Northeast
Cannonball,http://www.mycannonball.com,mobile,1250000,operating,USA,NY,2,10/11/2013,6/2/2014,1,234 days 00:00:00.000000000,234 days 00:00:00.000000000,625000,234,234,1,1,mobile,Northeast
Canopy,https://www.trycanopy.com/,software,1500000,operating,USA,NC,1,9/9/2015,9/9/2015,1,358 days 00:00:00.000000000,179 days 00:00:00.000000000,1136511.667,179,358,1,4,software,South
Cantaloupe Systems,http://www.cantaloupesys.com,enterprise software,16400000,operating,USA,CA,2,4/27/2010,1/23/2015,1,1732 days 00:00:00.000000000,1732 days 00:00:00.000000000,8200000,1732,1732,1,2,software,West
Canvas,http://www.gocanvas.com,android|audio|automotive|green|iphone|location based services|mobile|mobility|point of sale|surveys|video|wireless,20077736,operating,USA,VA,8,8/1/2008,12/10/2014,1,212 days 00:00:00.000000000,331 days 17:08:34.285714284,2509717,331,212,1,6,mobile,South
wrkbench.io,http://wrkbench.io,advertising|apps|enterprise software|project management|public relations|saas|software,1035000,operating,USA,NY,2,10/1/2013,3/12/2015,1,527 days 00:00:00.000000000,527 days 00:00:00.000000000,517500,527,527,1,3,software,Northeast
Cape Clear Software,,software,19950000,acquired,USA,CA,2,4/18/2006,5/10/2007,0,387 days 00:00:00.000000000,387 days 00:00:00.000000000,9975000,387,387,1,4,software,West
Cape Wind,http://capewind.org,clean technology|energy|environmental innovation|renewable energies|wind,1200000000,operating,USA,MA,3,6/18/2013,3/26/2014,1,253 days 00:00:00.000000000,140 days 12:00:00.000000000,400000000,140,253,1,5,technology,Northeast
CapLinked,http://www.caplinked.com,enterprise software,5899400,operating,USA,CA,8,6/1/2010,11/20/2013,1,301 days 00:00:00.000000000,181 days 03:25:42.857142858,842771.4286,181,301,1,33,software,West
Cappasity Inc.,http://www.cappasity.com,3d|3d printing|3d technology|e-commerce|mobile|software,400000,operating,USA,TX,2,7/7/2014,7/14/2015,1,372 days 00:00:00.000000000,372 days 00:00:00.000000000,200000,372,372,1,1,mobile,South
Capricor,http://www.capricor.com,biotechnology,53792001,operating,USA,CA,8,7/8/2009,2/3/2015,1,176 days 00:00:00.000000000,290 days 20:34:17.142857144,6724000.125,290,176,1,3,biotech,West
Capriza,http://www.capriza.com,enterprise software|mobile,50500000,operating,USA,CA,3,7/1/2011,10/30/2014,1,944 days 00:00:00.000000000,608 days 12:00:00.000000000,16833333.33,608,944,1,6,mobile,West
CapsoVision,http://www.capsovision.com,health care,28216178,operating,USA,CA,8,8/5/2009,2/21/2014,1,203 days 00:00:00.000000000,237 days 06:51:25.714285716,3527022.25,237,203,1,1,healthcare,West
Captimo,http://www.captimo.com,analytics|apps|b2b|brand marketing|facebook applications|finance|mobile|mobile video|social media|weddings,1200000,operating,USA,CO,2,8/1/2010,1/24/2011,1,176 days 00:00:00.000000000,176 days 00:00:00.000000000,1200000,176,176,0,2,mobile,West
Captora,http://www.captora.com,cloud computing|marketing automation|software|technology,27250000,operating,USA,CA,2,3/1/2013,5/20/2014,1,445 days 00:00:00.000000000,445 days 00:00:00.000000000,13625000,445,445,1,2,software,West
Captricity,http://captricity.com,data integration|enterprise software|saas,16900000,operating,USA,CA,5,10/1/2011,7/15/2014,1,359 days 00:00:00.000000000,254 days 12:00:00.000000000,5633333.333,254,359,1,4,software,West
Capture Educational Consulting Services,http://capture-education.com,charter schools|colleges|education|online scheduling|software|universities,1945000,operating,USA,OH,3,3/31/2014,11/14/2014,1,7 days 00:00:00.000000000,114 days 00:00:00.000000000,972500,114,7,1,3,software,Midwest
CaptureProof,http://www.captureproof.com,health care|health care information technology|technology,1200000,operating,USA,CA,2,5/28/2013,10/1/2013,1,126 days 00:00:00.000000000,126 days 00:00:00.000000000,1200000,126,126,1,1,healthcare,West
Car Guy Nation,http://www.carguynation.com,e-commerce,1100000,closed,USA,NY,2,4/18/2011,1/1/2013,1,624 days 00:00:00.000000000,624 days 00:00:00.000000000,550000,624,624,0,1,e-commerce,Northeast
Cara Therapeutics,http://www.caratherapeutics.com,biotechnology|health care,56100003,ipo,USA,CT,5,12/21/2005,12/10/2014,1,342 days 00:00:00.000000000,819 days 00:00:00.000000000,11220000.6,819,342,1,11,healthcare,Northeast
CarbonFlow,http://www.carbonflow.com,carbon|green|software,8467282,operating,USA,CA,4,7/23/2008,10/28/2010,1,113 days 00:00:00.000000000,275 days 16:00:00.000000000,2116820.5,275,113,0,4,software,West
Carbonite,http://www.carbonite.com/,saas|software,67192715,ipo,USA,MA,6,3/1/2006,1/7/2010,1,275 days 00:00:00.000000000,281 days 14:24:00.000000000,11198785.83,281,275,1,7,software,Northeast
Carbylan Therapeutics,http://www.carbylan.com,health care,34999999,ipo,USA,CA,4,11/26/2007,3/6/2015,1,1865 days 00:00:00.000000000,885 days 16:00:00.000000000,8749999.75,885,1865,1,3,healthcare,West
CARD.com,http://www.CARD.com,banking|credit|curated web|mobile|p2p money transfer|payments,12000000,operating,USA,CA,4,4/25/2012,11/18/2015,1,589 days 00:00:00.000000000,434 days 00:00:00.000000000,6000000,434,589,1,8,mobile,West
Card Isle,http://www.cardisle.com,gift card|hardware + software,980000,operating,USA,VA,3,4/24/2014,10/1/2015,1,473 days 00:00:00.000000000,262 days 12:00:00.000000000,326666.6667,262,473,1,1,software,South
Cardax Pharma,http://cardaxpharma.com,biotechnology,4973170,ipo,USA,HI,6,12/23/2008,11/17/2015,1,643 days 00:00:00.000000000,504 days 00:00:00.000000000,828861.6667,504,643,1,1,biotech,West
CardCash.com,http://cardcash.com,e-commerce|gift card,12000000,operating,USA,NJ,2,11/7/2013,12/16/2014,1,404 days 00:00:00.000000000,404 days 00:00:00.000000000,6000000,404,404,1,2,e-commerce,Northeast
Cardeas Pharma,http://cardeaspharma.com,biotechnology|health care|pharmaceuticals,45035988,operating,USA,WA,2,3/16/2012,4/10/2015,1,1120 days 00:00:00.000000000,1120 days 00:00:00.000000000,22517994,1120,1120,1,3,pharma,West
Cardeeo,http://loyaltree.com,software,2094840,operating,USA,PA,5,10/20/2011,3/9/2015,1,323 days 00:00:00.000000000,309 days 00:00:00.000000000,698280,309,323,1,1,software,Northeast
CardFlight,http://cardflight.com,mobile|mobile payments|payments,6550000,operating,USA,NY,4,7/3/2013,10/8/2015,1,91 days 00:00:00.000000000,275 days 16:00:00.000000000,2183333.333,275,91,1,11,mobile,Northeast
Cardia,http://cardiainc.com,medical devices,4527768,operating,USA,MN,5,7/29/2011,6/10/2015,1,460 days 00:00:00.000000000,353 days 00:00:00.000000000,905553.6,353,460,1,1,medicalGear,Midwest
Cardiac Insight,,biotechnology,10500249,operating,USA,WA,6,1/7/2011,7/21/2014,0,262 days 00:00:00.000000000,258 days 04:48:00.000000000,1750041.5,258,262,1,2,biotech,West
CardiaLen,http://cardialen.com,biotechnology,6905380,operating,USA,MO,5,8/17/2009,3/26/2015,1,854 days 00:00:00.000000000,511 days 18:00:00.000000000,1381076,511,854,1,8,biotech,Midwest
CardiAQ Valve Technologies,http://www.cardiaq.com,biotechnology,45434000,acquired,USA,CA,4,5/12/2009,11/29/2012,1,1 days 00:00:00.000000000,432 days 08:00:00.000000000,11358500,432,1,1,3,biotech,West
Cardica,http://cardica.com,health care|manufacturing,13797958,ipo,USA,CA,3,10/1/2009,12/22/2010,1,334 days 00:00:00.000000000,223 days 12:00:00.000000000,4599319.333,223,334,1,1,healthcare,West
Cardinal Blue Software,http://cardinalblue.com,curated web|facebook applications|mobile|social games,2300000,operating,USA,CA,2,8/16/2011,8/21/2013,1,736 days 00:00:00.000000000,736 days 00:00:00.000000000,2300000,736,736,1,6,games,West
CardioDx,http://www.cardiodx.com,biotechnology|health diagnostics,268990356,operating,USA,CA,9,7/21/2006,7/3/2015,1,1396 days 00:00:00.000000000,408 days 15:00:00.000000000,29887817.33,408,1396,1,21,healthcare,West
CardioFocus,http://www.cardiofocus.com,biotechnology,86872388,operating,USA,MA,6,6/15/2009,1/7/2015,1,623 days 00:00:00.000000000,406 days 09:36:00.000000000,14478731.33,406,623,1,11,biotech,Northeast
CardioInsight Technologies,http://www.cardioinsight.com,health care,36050344,acquired,USA,OH,7,2/26/2008,11/11/2013,1,1046 days 00:00:00.000000000,347 days 12:00:00.000000000,5150049.143,347,1046,1,4,healthcare,Midwest
CardioKinetix,http://www.cardiokinetix.com,health and wellness|health care|medical devices,135500000,operating,USA,CA,5,7/15/2008,12/8/2014,1,1163 days 00:00:00.000000000,584 days 06:00:00.000000000,27100000,584,1163,1,11,medicalGear,West
CardioMind,http://www.cardiomind.com,biotechnology,55000000,closed,USA,CA,2,7/3/2007,3/31/2008,1,272 days 00:00:00.000000000,272 days 00:00:00.000000000,27500000,272,272,0,6,biotech,West
Cardiorobotics,http://www.cardiorobotics.com,health care,27205437,operating,USA,MA,5,9/15/2009,5/16/2011,1,128 days 00:00:00.000000000,152 days 00:00:00.000000000,5441087.4,152,128,0,3,healthcare,Northeast
Cardiosolutions,http://www.cardiosolutionsinc.com,health care,18300000,operating,USA,MA,3,9/26/2007,7/10/2012,1,1441 days 00:00:00.000000000,874 days 12:00:00.000000000,6100000,874,1441,0,2,healthcare,Northeast
Cardiovascular Systems,http://www.csi360.com,biotechnology|medical devices,15000000,ipo,USA,MN,2,12/13/2010,3/12/2013,1,1069 days 00:00:00.000000000,944 days 12:00:00.000000000,8740000,944,1069,1,2,medicalGear,Midwest
Cardiovascular Systems,http://www.csi360.com/,medical devices,11220000,ipo,USA,MN,1,1/9/2008,1/9/2008,1,1069 days 00:00:00.000000000,944 days 12:00:00.000000000,8740000,944,1069,1,2,medicalGear,Midwest
CardiOx,http://cardiox.com,biotechnology,14511774,operating,USA,OH,8,11/7/2008,4/7/2014,1,210 days 00:00:00.000000000,282 days 10:17:08.571428572,1813971.75,282,210,1,2,biotech,Midwest
Cardioxyl Pharmaceuticals,http://www.cardioxyl.com,biotechnology,66500000,acquired,USA,NC,4,12/6/2006,11/13/2012,1,973 days 00:00:00.000000000,723 days 00:00:00.000000000,16625000,723,973,1,4,biotech,South
Cardiva Medical,http://www.cardivamedical.com,health care,32930335,operating,USA,CA,3,3/19/2013,8/12/2014,1,132 days 00:00:00.000000000,255 days 12:00:00.000000000,10976778.33,255,132,1,1,healthcare,West
Cardpool,http://www.cardpool.com,curated web|e-commerce|gift card,100000,acquired,USA,CA,2,1/1/2009,1/1/2010,1,365 days 00:00:00.000000000,365 days 00:00:00.000000000,13025387.42,365,365,1,22,e-commerce,West
CardSpring,http://cardspring.com,e-commerce,10000000,acquired,USA,CA,2,5/4/2011,1/31/2012,1,272 days 00:00:00.000000000,272 days 00:00:00.000000000,10000000,272,272,1,10,e-commerce,West
CardStar,http://www.cardstar.com,android|app marketing|crm|iphone|mobile commerce|software,2030882,acquired,USA,MA,4,12/1/2008,9/13/2011,1,484 days 00:00:00.000000000,338 days 16:00:00.000000000,676960.6667,338,484,1,5,mobile,Northeast
Care at Hand,http://www.careathand.com,health and wellness|health care information technology|mobile enterprise|mobile health,1910000,operating,USA,CA,3,6/1/2012,8/14/2015,1,487 days 00:00:00.000000000,584 days 12:00:00.000000000,636666.6667,584,487,1,3,healthcare,West
CareCam Health Systems,http://www.carecamhealthsystems.com,software,12600000,operating,USA,PA,3,5/8/2012,11/7/2014,1,261 days 00:00:00.000000000,456 days 12:00:00.000000000,4200000,456,261,1,1,software,Northeast
CareCloud,http://www.carecloud.com,electronic health records|health and wellness|software,98772385,operating,USA,FL,7,1/19/2010,7/31/2015,1,258 days 00:00:00.000000000,336 days 12:00:00.000000000,14110340.71,336,258,1,6,healthcare,South
CareDox,http://www.caredox.com,health and wellness|parenting,6139494,operating,USA,CA,4,4/25/2011,8/11/2015,1,1201 days 00:00:00.000000000,523 days 00:00:00.000000000,1534873.5,523,1201,1,5,healthcare,West
CareFamily,http://carefamily.com,biotechnology,1325000,operating,USA,VA,2,1/13/2012,10/2/2013,1,628 days 00:00:00.000000000,628 days 00:00:00.000000000,662500,628,628,1,1,biotech,South
Caregivers,http://www.caregiversinc.net,assisted living|elder care|health and wellness,2700000,operating,USA,TN,2,3/2/2010,9/7/2011,1,554 days 00:00:00.000000000,554 days 00:00:00.000000000,1350000,554,554,0,1,healthcare,South
CareinSync,http://www.careinsync.com,software,2600000,acquired,USA,CA,3,6/6/2012,8/7/2013,1,25 days 00:00:00.000000000,213 days 12:00:00.000000000,1300000,213,25,1,3,software,West
CareKinesis,http://www.carekinesis.com,health care,7000000,operating,USA,NJ,3,10/11/2010,9/12/2013,1,178 days 00:00:00.000000000,533 days 12:00:00.000000000,2333333.333,533,178,1,3,healthcare,Northeast
Caremerge,http://www.caremerge.com,enterprise software|health and wellness|hospitals|senior citizens,6100000,operating,USA,IL,2,7/11/2013,1/6/2015,1,544 days 00:00:00.000000000,544 days 00:00:00.000000000,3050000,544,544,1,6,healthcare,Midwest
Carena,http://www.carenamd.com,health care,33129450,operating,USA,WA,5,6/18/2010,6/4/2015,1,740 days 00:00:00.000000000,453 days 00:00:00.000000000,6625890,453,740,1,4,healthcare,West
CarePartners Plus,http://carepartnersplus.com,health care,1657428,operating,USA,PA,2,6/5/2009,3/5/2012,1,1004 days 00:00:00.000000000,1004 days 00:00:00.000000000,828714,1004,1004,0,1,healthcare,Northeast
Careport Health,http://www.careporthealth.com,finance|health and wellness,3130000,operating,USA,MA,4,8/23/2012,6/1/2015,1,100 days 00:00:00.000000000,337 days 08:00:00.000000000,1565000,337,100,1,13,healthcare,Northeast
CareSync,http://caresync.com/ccm,curated web|health and wellness|health care information technology|healthcare services|mhealth,23000000,operating,USA,FL,3,10/21/2014,10/7/2015,1,115 days 00:00:00.000000000,175 days 12:00:00.000000000,7666666.667,175,115,1,7,healthcare,South
Care Technology Systems,http://caretechsys.com,health care,980000,operating,USA,TN,2,5/1/2012,7/18/2013,1,443 days 00:00:00.000000000,443 days 00:00:00.000000000,490000,443,443,1,1,healthcare,South
CareXtend,http://www.carextend.com,health and wellness|health care|marketplaces,2210332,operating,USA,IL,2,4/12/2013,4/1/2014,1,354 days 00:00:00.000000000,354 days 00:00:00.000000000,1105166,354,354,1,1,healthcare,Midwest
Caribou Biosciences,http://www.cariboubio.com/,biotechnology,14464846,operating,USA,CA,2,10/3/2014,3/25/2015,1,173 days 00:00:00.000000000,173 days 00:00:00.000000000,7232423,173,173,1,3,biotech,West
Cariloop,http://cariloop.com,biotechnology|health care|health care information technology|healthcare services,605000,operating,USA,TX,3,9/13/2013,8/30/2015,1,264 days 00:00:00.000000000,358 days 00:00:00.000000000,201666.6667,358,264,1,2,healthcare,South
Carina Technology,http://carinatek.com,hardware + software,1937378,operating,USA,AL,2,1/21/2010,4/27/2012,1,827 days 00:00:00.000000000,827 days 00:00:00.000000000,968689,827,827,0,1,software,South
Caring.com,http://www.caring.com,baby boomers|elder care|local based services|media|senior health,23519998,closed,USA,CA,4,9/1/2007,5/24/2013,1,803 days 00:00:00.000000000,697 days 08:00:00.000000000,5879999.5,697,803,0,4,healthcare,West
Caringo,http://www.caringo.com,software,6932079,operating,USA,TX,3,2/4/2008,7/23/2014,1,823 days 00:00:00.000000000,1180 days 12:00:00.000000000,3466039.5,1180,823,1,2,software,South
Carlotz,http://carlotz.com,e-commerce,7025000,operating,USA,VA,3,4/14/2011,8/1/2014,1,349 days 00:00:00.000000000,602 days 12:00:00.000000000,2341666.667,602,349,1,1,e-commerce,South
Carmell Therapeutics,http://www.carmellrx.com,biotechnology,4381848,operating,USA,PA,7,1/31/2008,8/14/2015,1,1173 days 00:00:00.000000000,458 days 16:00:00.000000000,730308,458,1173,1,6,biotech,Northeast
Carmolex,http://carmolex.com,biotechnology|early-stage technology|medical,1600000,operating,USA,PA,2,5/22/2012,10/27/2013,1,523 days 00:00:00.000000000,523 days 00:00:00.000000000,800000,523,523,1,1,pharma,Northeast
Carmot Therapeutics,http://carmot.us,biotechnology,2050158,operating,USA,CA,2,4/23/2010,7/17/2012,1,816 days 00:00:00.000000000,816 days 00:00:00.000000000,1025079,816,816,0,1,biotech,West
Carnegie Speech,http://www.carnegiespeech.com,collaboration|software,16461305,operating,USA,PA,8,2/7/2007,3/28/2013,1,278 days 00:00:00.000000000,320 days 03:25:42.857142856,2743550.833,320,278,0,5,software,Northeast
UNIFi Software,http://www.UNIFiYourData.com/,enterprise software,14500000,operating,USA,CA,2,12/11/2014,9/28/2015,1,291 days 00:00:00.000000000,291 days 00:00:00.000000000,7250000,291,291,1,3,software,West
Carrier IQ,http://www.carrieriq.com,mobile|wireless,42000000,operating,USA,CA,3,8/8/2006,6/15/2010,1,903 days 00:00:00.000000000,703 days 12:00:00.000000000,14000000,703,903,0,9,mobile,West
Carrot Medical,http://www.carrotmedical.com,health care,3035000,operating,USA,WA,3,6/15/2009,10/18/2010,1,79 days 00:00:00.000000000,245 days 00:00:00.000000000,1011666.667,245,79,0,1,healthcare,West
Carson Life,http://carsonlife.com,consumer goods|fitness|health and wellness,1036284,operating,USA,FL,2,2/6/2015,7/3/2015,1,147 days 00:00:00.000000000,147 days 00:00:00.000000000,518142,147,147,1,1,healthcare,South
CartCrunch,http://www.cartcrunch.com,finance|mobile,1313000,operating,USA,MA,4,12/1/2011,1/1/2014,1,244 days 00:00:00.000000000,254 days 00:00:00.000000000,328250,254,244,1,8,mobile,Northeast
Carticept Medical,http://www.carticept.com,health care,30000000,operating,USA,GA,2,3/10/2010,1/18/2012,1,679 days 00:00:00.000000000,679 days 00:00:00.000000000,15000000,679,679,0,3,healthcare,South
Cartiva,http://cartiva.net,biotechnology,15800000,operating,USA,GA,4,7/15/2013,5/11/2015,1,177 days 00:00:00.000000000,221 days 16:00:00.000000000,3950000,221,177,1,3,biotech,South
CartoDB,http://cartodb.com,business intelligence|data visualization|enterprise software|location based services|maps|open source,31000000,operating,USA,NY,2,9/10/2014,9/10/2015,1,365 days 00:00:00.000000000,365 days 00:00:00.000000000,15500000,365,365,1,5,software,Northeast
Cartogram,http://cartogr.am/,b2b|indoor positioning|location based services|maps|mobile analytics,646000,operating,USA,WA,3,9/10/2014,8/24/2015,1,139 days 00:00:00.000000000,174 days 00:00:00.000000000,215333.3333,174,139,1,5,mobile,West
Carvana,http://www.carvana.com,automotive|e-commerce,140000000,operating,USA,AZ,2,1/23/2013,5/15/2015,1,842 days 00:00:00.000000000,842 days 00:00:00.000000000,70000000,842,842,1,1,e-commerce,West
CAS Medical Systems,http://www.casmed.com,health care,16925000,ipo,USA,CT,2,6/30/2010,6/9/2011,1,344 days 00:00:00.000000000,344 days 00:00:00.000000000,8462500,344,344,1,1,healthcare,Northeast
Casabi,http://www.casabi.com,mobile,18799999,acquired,USA,CA,3,12/19/2005,4/1/2009,1,448 days 00:00:00.000000000,599 days 12:00:00.000000000,6266666.333,599,448,1,3,mobile,West
Cascade Prodrug,http://cascadeprodrug.com,biotechnology,1448932,operating,USA,OR,2,2/12/2012,4/3/2013,1,416 days 00:00:00.000000000,416 days 00:00:00.000000000,724466,416,416,0,1,biotech,West
Casenet,http://casenetinc.com,software,39064207,operating,USA,MA,7,11/13/2007,1/12/2012,1,707 days 00:00:00.000000000,253 days 12:00:00.000000000,5580601,253,707,0,3,software,Northeast
"Casentric, LLC",http://www.casentric.com,software,350000,operating,USA,OH,2,2/6/2013,1/1/2014,1,329 days 00:00:00.000000000,329 days 00:00:00.000000000,175000,329,329,1,2,software,Midwest
CaseStack,http://www.casestack.com,distributors|manufacturing|retail,1104641,operating,USA,CA,2,8/5/2009,10/14/2009,1,70 days 00:00:00.000000000,70 days 00:00:00.000000000,552320.5,70,70,0,1,manufacturing,West
Case,http://www.choosecase.com/,bitcoin|cryptocurrency|software|virtual currency,3750000,operating,USA,NY,2,6/18/2015,9/10/2015,1,84 days 00:00:00.000000000,84 days 00:00:00.000000000,1875000,84,84,1,4,software,Northeast
CashBet,http://www.cashbet.com,application platforms|gambling|games|mobile|software,2445000,operating,USA,CA,2,1/1/2012,2/3/2014,1,764 days 00:00:00.000000000,764 days 00:00:00.000000000,1222500,764,764,1,1,games,West
CashStar,http://www.cashstar.com,e-commerce|incentives|loyalty programs|payments,43000000,operating,USA,ME,6,1/1/2008,8/5/2015,1,1141 days 00:00:00.000000000,554 days 14:24:00.000000000,7166666.667,554,1141,1,11,e-commerce,Northeast
