,kind,link,name,pitch,joined,location,market,size,stage,raised,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric
63,Startup,https://angel.co/company/sickweather,Sickweather,"
Waze for sickness
",2011-11-01,Baltimore,Mobile Health,1-10,Seed,870000,sickweather.com,8.56986301369863,101518.5421994885,0,0,5.0
64,Startup,https://angel.co/company/agilemd,AgileMD,"
EHR-integrated pathways, analytics, and scoring tools
",2012-03-01,San Francisco,Health Care Information Technology,1-10,Seed,2500000,agilemd.com,8.238356164383562,303458.59660791483,1,0,5.0
66,Startup,https://angel.co/company/digitalmr,DigitalMR,"
Next Generation Market Research
",2014-03-01,London,Fast-Moving Consumer Goods,11-50,Seed,1020000,digital-mr.com,6.238356164383561,163504.6113306983,0,0,25.0
67,Startup,https://angel.co/company/happier,Happier,"
Focusing on the positive and staying connected to people you care about makes you happier
",2013-01-01,Boston,Personal Health,1-10,Seed,4400000,happier.com,7.4,594594.5945945946,1,0,5.0
68,Startup,https://angel.co/company/meludia,Meludia,"
Musical Brain Training
",2013-08-01,Paris,Music Education,11-50,Seed,888350,meludia.com,6.8191780821917805,130272.29811169145,0,0,25.0
69,Startup,https://angel.co/company/tute-genomics,Tute Genomics,"
Cloud-based Genome Analysis for Precision Medicine
",2013-03-01,Provo,Startups,11-50,Acquired,7700000,tutegenomics.com,7.238356164383561,1063777.441332324,1,0,25.0
70,Startup,https://angel.co/company/seratis,Seratis,"
Team transparency platform enabling care coordination for healthcare providers
",2013-04-01,Boston,Communications Infrastructure,1-10,Acquired,890000,seratis.com,7.153424657534247,124415.93259287628,0,0,5.0
71,Startup,https://angel.co/company/solvebio,SolveBio,"
Genomic Intelligence Platform
",2013-11-01,New York City,Bioinformatics,1-10,Seed,3900000,solvebio.com,6.567123287671233,593867.3341677096,1,0,5.0
72,Startup,https://angel.co/company/rise-2,Rise,"
Affordable & effective 1:1 nutrition coaching
",2013-10-01,San Francisco,,1-10,Acquired,2300000,rise.us,6.652054794520548,345757.8253706755,1,0,5.0
73,Startup,https://angel.co/company/dmetrics,dMetrics,"
AI for everyone
",2016-09-01,New York City,Machine Learning,11-50,Seed,7930000,dmetrics.com,3.7315068493150685,2125146.8428781205,1,0,25.0
74,Startup,https://angel.co/company/infermedica,Infermedica,"
AI-driven digital health company specialized in tools for preliminary diagnosis and triage
",2013-09-01,Wrocław,Mobile Health,51-200,Seed,3650000,infermedica.com,6.734246575342466,542005.6956875508,1,0,125.0
75,Startup,https://angel.co/company/mahmee,Mahmee,"
Mapping the Maternal Healthcare Ecosystem
",2015-10-01,Los Angeles,Women-Focused,11-50,Seed,4005000,mahmee.com,4.652054794520548,860909.8939929329,1,0,25.0
77,Startup,https://angel.co/company/ava-me,Ava Accessibility,"
Live subtitles for any conversation. enjoy 24/7 access to conversations around you
",2014-03-01,San Francisco,Communications Hardware,11-50,-,1845000,ava.me,6.238356164383561,295750.9881422925,0,0,25.0
78,Startup,https://angel.co/company/careskore-1,CareSkore,"
Personalized Population Health Management
",2015-01-01,San Francisco,Predictive Analytics,11-50,Seed,4300000,careskore.com,5.4,796296.2962962963,1,0,25.0
79,Startup,https://angel.co/company/aira,Aira,"
Visual Interpreter
",2015-05-01,San Diego,Assisitive Technology,11-50,Seed,4080000,aira.io,5.071232876712329,804538.0875202593,1,0,25.0
80,Startup,https://angel.co/company/zenysis,Zenysis,"
Advanced analytics for developing countries
",2016-03-01,San Francisco,International Development,11-50,Series A,8003365,zenysis.com,4.235616438356164,1889539.6021992238,1,0,25.0
81,Startup,https://angel.co/company/dna-guide,DNA Guide,"
Mapping the Genome
",2011-08-01,San Francisco,Bioinformatics,1-10,Seed,25000,dnaguide.com,8.821917808219178,2833.8509316770187,0,0,5.0
82,Startup,https://angel.co/company/handle-my-health,Handle My Health,"
Reclaim your health
",2012-06-01,London,Internet of Things,1-10,Acquired,404882,handlemyhealth.com,7.986301369863014,50697.060034305316,0,0,5.0
83,Startup,https://angel.co/company/treatspace,Treatspace,"
Enterprise health networks for practices and hospitals
",2014-02-01,Pittsburgh,Mobile Health,1-10,Seed,25000,treatspace.com,6.315068493150685,3958.7852494577005,0,0,5.0
84,Startup,https://angel.co/company/sweatguru,SweatGuru,"
Bringing people together around fitness 
",2012-10-01,San Francisco,Fitness,1-10,Seed,500000,sweatguru.com,7.652054794520548,65341.92624418189,0,0,5.0
85,Startup,https://angel.co/company/i-deed-it,I Deed It,"
creative platform for employee engagement
",2013-01-01,Sofia,Human Resources,1-10,Seed,95000,ideedit.com,7.4,12837.837837837837,0,0,5.0
86,Startup,https://angel.co/company/open-health-network,Open Health Network,"
Powered by AI,Big Data & Blockchain Patient Experience Management Platform
",2013-03-01,Los Altos,Mobile Health,11-50,Pre-Seed,500000,openhealth.cc,7.238356164383561,69076.45722937169,0,0,25.0
87,Startup,https://angel.co/company/klinify,klinify,"
Digital Medical Assistant 
",2013-02-01,Singapore,Mobile Health,11-50,Acquired,605000,klinify.com,7.315068493150685,82705.99250936329,0,0,25.0
88,Startup,https://angel.co/company/rippedathlete,RippedAthlete,"
Custom Weekly Meal Plans and Shopping Lists
",2013-03-01,New York City,Fitness,1-10,Seed,10000,rippedathlete.com,7.238356164383561,1381.5291445874338,0,0,5.0
89,Startup,https://angel.co/company/insample,InSample,"
Intelligence for Health Outcomes
",2013-03-01,San Francisco,SaaS,1-10,Seed,50000,insample.com,7.238356164383561,6907.645722937169,0,0,5.0
90,Startup,https://angel.co/company/you-app,Fifth Corner Inc.,"
Wellbeing and performance coaching for modern organizations
",2013-03-01,Helsinki,B2B,1-10,Seed,550000,fifthcornerinc.com,7.238356164383561,75984.10295230887,0,0,5.0
91,Startup,https://angel.co/company/operating-analytics,Operating Analytics,"
Forecasting SaaS to help hospitals do more surgeries
",2013-03-01,Cambridge,Hospitals,1-10,Seed,50000,operatinganalytics.com,7.238356164383561,6907.645722937169,0,0,5.0
92,Startup,https://angel.co/company/protocolsioplatform,protocols.io,"
The #1 platform for designing and publishing science methods
",2013-04-01,Berkeley,Biotechnology,11-50,Seed,780000,protocols.io,7.153424657534247,109038.68249712753,0,0,25.0
93,Startup,https://angel.co/company/lynxfit,LynxFit (Pivot),"
EXPERT & DATA DRIVEN FITNESS
",2013-10-01,Washington DC,Fitness,1-10,Seed,70000,lynxfit.com,6.652054794520548,10523.064250411862,0,0,5.0
94,Startup,https://angel.co/company/swan-sleep-solutions,SWAN Sleep Solutions,"
Corporate Wellness Rests on Sleep
",2013-12-01,Mountain View,Corporate Wellness,1-10,Seed,100000,SwanMedical.com,6.484931506849315,15420.363329108577,0,0,5.0
95,Startup,https://angel.co/company/nuvenote,Nuvenote,"
Intuitive appointment notes for doctors
",2014-02-01,Paris,Mobile Health,1-10,Seed,50000,nuvenote.com,6.315068493150685,7917.570498915401,0,0,5.0
96,Startup,https://angel.co/company/zakipoint-health,zakipoint health,"
improve value from healthcare program spend for self-funded employers
",2014-02-01,Cambridge,Big Data Analytics,1-10,Seed,610000,zakipointhealth.com,6.315068493150685,96594.36008676789,0,0,5.0
98,Startup,https://angel.co/company/superdoc-app-ask-a-doctor,Superdoc,"
Instant Doctor Chat 24*7 for taboo issues related to sexual & mental health
",2015-08-01,San Francisco,Mobile Health,11-50,Seed,62000,play.google.com,4.8191780821917805,12865.264354747016,0,0,25.0
100,Startup,https://angel.co/company/drchrono,DrChrono,"
On a mission to fix healthcare
",2011-02-01,Sunnyvale,Medical Devices,51-200,Series A,48725000,drchrono.com,9.317808219178081,5229234.048809174,1,1,125.0
101,Startup,https://angel.co/company/classpass,ClassPass,"
One app for the best fitness classes
",2011-07-01,Sydney,Fitness,501-1000,Series C,84000000,classpass.com,8.906849315068493,9430944.324823132,1,1,750.0
102,Startup,https://angel.co/company/fabricgenomics,Fabric Genomics,"
Global healthcare platform for genomics-driven precision medicine, proven AI algorithms
",2013-07-01,Oakland,Bioinformatics,11-50,Series B,23000000,fabricgenomics.com,6.904109589041096,3331349.206349206,1,1,25.0
103,Startup,https://angel.co/company/chewse,Chewse,"
Provides hassle-free, locally-sourced, delicious food, delivered straight to your door
",2012-01-01,Austin,Hospitality,51-200,Series B,16000000,chewse.com,8.402739726027397,1904140.8542549724,1,1,125.0
104,Startup,https://angel.co/company/syapse,Syapse,"
Powering precision medicine with insights from a global oncology network
",2012-02-01,Radnor,Bioinformatics,51-200,Series C,59500000,syapse.com,8.317808219178081,7153326.745718051,1,1,125.0
105,Startup,https://angel.co/company/omada-health-1,Omada Health,"
Omada® empowers people to achieve their health goals, one step at a time
",2013-09-01,San Francisco,Therapeutics,201-500,Series C,71000000,omadahealth.com,6.734246575342466,10543124.491456468,1,1,350.0
106,Startup,https://angel.co/company/lark-3,Lark,"
Lark's AI digital care platform enables virtual management of diabetes and heart disease
",2013-06-01,Silicon Valley,Consumer Electronics,51-200,Series C,71700000,lark.com,6.986301369863014,10262941.176470587,1,1,125.0
107,Startup,https://angel.co/company/myfitnesspal,MyFitnessPal,"
Nutrition and fitness tracking
",2012-04-01,San Francisco,Fitness,51-200,Acquired,18000000,myfitnesspal.com,8.153424657534247,2207661.2903225804,1,1,125.0
108,Startup,https://angel.co/company/onehealth-solutions,OneHealth Solutions,"
Social peer support platform to improve health outcomes
",2012-05-01,Solana Beach,Social Media Platforms,11-50,Acquired,16000000,onehealth.com,8.07123287671233,1982348.9477257296,1,1,25.0
109,Startup,https://angel.co/company/humanapi,Human API,"
The easiest way for consumers to connect & share health data with any company
",2013-05-01,San Mateo,Real Time,11-50,Series A,16624982,humanapi.co,7.071232876712329,2351072.6191398683,1,1,25.0
110,Startup,https://angel.co/company/babyscripts-by-1eq,Babyscripts,"
Virtual Care for Obstetrics
",2013-03-01,Washington DC,Hospitals,11-50,Series A,19000000,babyscripts.com,7.238356164383561,2624905.374716124,1,1,25.0
111,Startup,https://angel.co/company/kinsa,Kinsa,"
The world's smartest thermometer
",2013-04-01,San Francisco,Mobile Health,11-50,Series B,28600000,kinsahealth.com,7.153424657534247,3998085.024894676,1,1,25.0
113,Startup,https://angel.co/company/station-x,Station X,"
Decoding genomes for better healthcare
",2013-10-01,San Francisco,Diagnostics,11-50,Series A,15875000,stationxinc.com,6.652054794520548,2386480.642504119,1,1,25.0
114,Startup,https://angel.co/company/soothe,Soothe,"
Massage Delivered To You
",2014-06-01,Los Angeles,,1-10,Series B,47300000,soothe.com,5.986301369863014,7901372.99771167,1,1,5.0
115,Startup,https://angel.co/company/amino-inc,Amino,"
Amino is a healthcare financial wellness benefit for mid-sized and large employers
",2014-04-01,San Francisco,Small and Medium Businesses,11-50,Seed,46150000,amino.com,6.153424657534247,7499888.691006233,1,1,25.0
117,Startup,https://angel.co/company/whoop,WHOOP,"
Whoop is a performance optimization system for elite athletes and teams
",2015-07-01,Boston,Fitness,51-200,Series C,47000000,whoop.com,4.904109589041096,9583798.882681563,1,1,125.0
118,Startup,https://angel.co/company/heal,Every.org,"
On-demand doctor house calls
",2014-10-01,-,Sharing Economy,51-200,Series B,48200000,heal.com,5.652054794520548,8527872.031022783,1,1,125.0
119,Startup,https://angel.co/company/luma-health,Luma Health,"
Total patient engagement with Luma Health
",2015-03-01,San Francisco,Doctors,51-200,-,29100000,lumahealth.io,5.238356164383561,5555177.824267782,1,1,125.0
120,Startup,https://angel.co/company/cureatr,Cureatr,"
Mobile Care Coordination
",2014-06-01,New York City,Health Care Information Technology,11-50,Series A,6125000,cureatr.com,5.986301369863014,1023169.3363844393,1,0,25.0
121,Startup,https://angel.co/company/carelinx,CareLinx,"
Caregiver Marketplace:  Disrupting the $100B+ in-home care market. AARP Winner!
",2012-05-01,San Francisco,Baby Boomers,1-10,Acquired,7000000,carelinx.com,8.07123287671233,867277.6646300066,1,0,5.0
122,Startup,https://angel.co/company/fit3d,Fit3D,"
Using 3D scanners, resulting data, and predictive AI solutions to solve massive problems
",2013-02-01,San Mateo,Fitness,11-50,Seed,5390000,fit3d.com,7.315068493150685,736835.2059925094,1,0,25.0
123,Startup,https://angel.co/company/acupera,Acupera,"
Population Health Platform
",2013-03-01,San Francisco,Health Care Information Technology,11-50,Series A,4000000,acupera.com,7.238356164383561,552611.6578349735,1,0,25.0
124,Startup,https://angel.co/company/rubiconmd,RubiconMD,"
Expert insights and better care. eConsults that connect clinicians to top specialists
",2013-03-01,New York City,Mobile Health,11-50,Series A,5300000,rubiconmd.com,7.238356164383561,732210.44663134,1,0,25.0
125,Startup,https://angel.co/company/transitscreen,TransitScreen,"
Helping corporate workplaces enhance the commute experience
",2013-05-01,Washington DC,Corporate Wellness,11-50,Closed,4475000,transitscreen.com,7.071232876712329,632845.7962030221,1,0,25.0
126,Startup,https://angel.co/company/wecounsel,WeCounsel,"
Telemedicine Software Service With An Emphasis In Mental Health
",2013-05-01,Chattanooga,Mental Health,1-10,Series A,4400000,wecounsel.com,7.071232876712329,622239.4420767145,1,0,5.0
127,Startup,https://angel.co/company/livesafe,LiveSafe,"
",2013-09-01,-,Sports Stadiums,11-50,Series A,15750000,livesafemobile.com,6.734246575342466,2338791.7005695687,1,1,25.0
128,Startup,https://angel.co/company/madaket-health,Madaket Health,"
Connecting healthcare providers, insurance companies and intermediaries
",2014-12-01,Cambridge,B2B,11-50,Series B,10000000,madakethealth.com,5.484931506849315,1823176.8231768233,1,0,25.0
129,Startup,https://angel.co/company/opternative,Visibly,"
The most convenient way to get a prescription for glasses or contacts
",2013-08-01,Chicago,Eyewear,11-50,Series A,9100000,govisibly.com,6.8191780821917805,1334471.6753716352,1,0,25.0
130,Startup,https://angel.co/company/solvebio,SolveBio,"
Genomic Intelligence Platform
",2013-11-01,New York City,Bioinformatics,1-10,Seed,3900000,solvebio.com,6.567123287671233,593867.3341677096,1,0,5.0
131,Startup,https://angel.co/company/volt-athletics,Volt Athletics,"
The first performance training AI for everyone
",2013-09-01,Seattle,Fitness,11-50,Seed,3791474,voltathletics.com,6.734246575342466,563013.8364524003,1,0,25.0
132,Startup,https://angel.co/company/bright-md,Bright.md,"
Automating $150 billion of care delivery
",2013-12-01,Portland,Mobile Health,11-50,Series B,11500000,bright.md,6.484931506849315,1773341.7828474862,1,0,25.0
133,Startup,https://angel.co/company/erelevance,eRelevance,"
Progressive Patient Engagement Service for Healthcare Providers
",2014-01-01,Austin,Health Care Information Technology,1-10,Seed,7200000,erelevencecorp.com,6.4,1125000.0,1,0,5.0
134,Startup,https://angel.co/company/doctible,Doctible,"
Helping private practices to grow and thrive by driving patient retention
",2014-01-01,San Diego,SaaS,51-200,Seed,4200000,doctible.com,6.4,656250.0,1,0,125.0
135,Startup,https://angel.co/company/8fit,8fit,"
Building healthy habits for life
",2014-02-01,Berlin,Fitness,51-200,Series A,9500000,8fit.com,6.315068493150685,1504338.3947939263,1,0,125.0
136,Startup,https://angel.co/company/docsapp,DocsApp,"
Making quality healthcare easily accessible to over a billion people! 
",2015-10-01,Bengaluru,Artificial Intelligence,201-500,Series A,8400000,docsapp.in,4.652054794520548,1805653.71024735,1,0,350.0
137,Startup,https://angel.co/company/chai,Chai,"
A biological testing lab on your desktop
",2014-12-01,Santa Clara,Medical Devices,11-50,Seed,5000000,chaibio.com,5.484931506849315,911588.4115884117,1,0,25.0
138,Startup,https://angel.co/company/peerwell,PeerWell,"
Surgery Optimization Platform for Musculoskeletal Health
",2015-02-01,Austin,Medical Technologies,11-50,Series A,8600000,peerwell.co,5.315068493150685,1618041.237113402,1,0,25.0
