joined,kind,link,location,market,name,,raised,size,stage,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric
12/1/2012,Startup,https://angel.co/company/nowumatter,New York City,Location Based Services,nowUmatter,,100000,10-Jan,Seed,nowUmatter.com,7.04109589,14202.33463,0,0,5
9/1/2011,Startup,https://angel.co/company/oneqube,New York City,,oneQube,,175000,Nov-50,Seed,oneQube.com,8.293150685,21101.75091,0,0,25
12/1/2012,Startup,https://angel.co/company/open4sale,Singapore,Mobile Commerce,open4sale.com,,3500000,Nov-50,Seed,open4sale.com,7.04109589,497081.7121,1,0,25
11/1/2013,Startup,https://angel.co/company/opp-io,Budapest,Meeting Software,opp.io,,121500,10-Jan,Seed,opp.io,6.123287671,19842.28188,0,0,5
8/1/2015,Startup,https://angel.co/company/optimizehealth,Seattle,Artificial Intelligence,optimize.health,,2850000,10-Jan,Seed,optimize.health,4.375342466,651377.583,1,0,5
6/1/2013,Startup,https://angel.co/company/plzadvize,New York City,,plzadvize,,95000,10-Jan,Seed,plzadvize.com,6.542465753,14520.51926,0,0,5
1/1/2013,Startup,https://angel.co/company/popexpert,San Francisco,Edtech,popexpert,,2500000,Nov-50,Seed,popexpert.com,6.956164384,359393.462,1,0,25
3/1/2015,Startup,https://angel.co/company/productboard,San Francisco,Technology,productboard,,9700000,51-200,Series A,productboard.com,4.794520548,2023142.857,1,0,125
6/1/2015,Startup,https://angel.co/company/q-12,-,Small and Medium Businesses,qStart,,20001500,10-Jan,Seed,qStart@rwe.com,4.542465753,4403225.271,1,1,5
3/1/2014,Startup,https://angel.co/company/rekode,Seattle,Teaching STEM Concepts,reKode,,170000,10-Jan,Seed,rekode.com,5.794520548,29338.06147,0,0,5
3/1/2015,Startup,https://angel.co/company/relevant-2,Montreal,Consumer,relevant,,300000,10-Jan,Seed,relevant.ai,4.794520548,62571.42857,0,0,5
4/1/2013,Startup,https://angel.co/company/riskmethods,Munich,Supply Chain Management,riskmethods,,9620000,Nov-50,Series A,riskmethods.net,6.709589041,1433768.885,1,0,25
8/1/2013,Startup,https://angel.co/company/sagecrowd-1,Halifax,Social Media Platforms,sageCrowd,,850000,10-Jan,Seed,sagecrowd.com,6.375342466,133326.171,0,0,5
12/1/2012,Startup,https://angel.co/company/shopa,London,Lead Generation,shopa,,11000000,Nov-50,Series A,shopa.com,7.04109589,1562256.809,1,0,25
5/1/2013,Startup,https://angel.co/company/smarterkey,London,Vacation Rentals,smarterkey,,250000,10-Jan,Seed,smarterkey.com,6.62739726,37722.19926,0,0,5
10/1/2013,Startup,https://angel.co/company/snapasong,Chicago,Music,snapAsong,,75000,10-Jan,Seed,snapAsong.com,6.208219178,12080.75905,0,0,5
1/1/2013,Startup,https://angel.co/company/sonardesign,Austin,Corporate Training,sonarDesign,,3850000,10-Jan,Seed,sonardesign.com,6.956164384,553465.9315,1,0,5
2/1/2013,Startup,https://angel.co/company/spendlo,Delray Beach,Mobile Commerce,spendLO,,225000,10-Jan,Seed,spendLO.com,6.871232877,32745.21531,0,0,5
2/1/2015,Startup,https://angel.co/company/switchedon,Los Altos,Messaging,switchedOn,,307000,10-Jan,Seed,switchedOn.com,4.871232877,63023.05962,0,0,5
2/1/2013,Startup,https://angel.co/company/telmedx,Jackson,Health Care Information Technology,telmedx,,1300000,10-Jan,Seed,telmedx.com,6.871232877,189194.5774,0,0,5
1/1/2013,Startup,https://angel.co/company/testio,San Francisco,Crowdsourcing,test IO,,6700000,51-200,Series A,test.io,6.956164384,963174.4781,1,0,125
9/1/2013,Startup,https://angel.co/company/thedrop,Austin,Messaging,theDrop,,145000,10-Jan,Seed,thedrop.mobi,6.290410959,23050.95819,0,0,5
11/1/2011,Startup,https://angel.co/company/thrdplace,Los Angeles,Crowdsourcing,thrdPlace,,340000,10-Jan,Seed,thrdplace.com,8.126027397,41840.86312,0,0,5
3/1/2013,Startup,https://angel.co/company/threecandy,Milan,3D,threecanDy,,6500,10-Jan,Seed,threecandy.com,6.794520548,956.6532258,0,0,5
9/1/2013,Startup,https://angel.co/company/tinybuild-games-1,Seattle,Mobile Games,tinyBuild GAMES,,26000,10-Jan,Seed,tinyBuild.com,6.290410959,4133.275261,0,0,5
2/1/2013,Startup,https://angel.co/company/trailerpop,San Francisco,Content Discovery,trailerpop,,750000,10-Jan,Seed,trailerpop.com,6.871232877,109150.7177,0,0,5
12/1/2012,Startup,https://angel.co/company/ttwick,New York City,Predictive Analytics,ttwick,,455000,10-Jan,Seed,ttwick.com,7.04109589,64620.62257,0,0,5
3/1/2013,Startup,https://angel.co/company/u-sit,Rio de Janeiro,B2B,u.sit,,60000,10-Jan,Seed,usitapp.com,6.794520548,8830.645161,0,0,5
10/1/2014,Startup,https://angel.co/company/nikalogic,Kyivs'ka oblast,B2B,uCat,,350000,Nov-50,Seed,ucat.com.ua,5.208219178,67201.47291,0,0,25
1/1/2015,Startup,https://angel.co/company/usens,San Jose,Digital Signage,uSens,,26700000,Nov-50,Series A,usens.com,4.956164384,5387230.514,1,1,25
12/1/2014,Startup,https://angel.co/company/unreel-co,Santa Monica,Social Media Platforms,unreel.me,,1500000,Nov-50,Seed,unreel.me,5.04109589,297554.3478,0,0,25
9/1/2013,Startup,https://angel.co/company/valota,Helsinki,B2B,valotalive,,198690,10-Jan,Seed,valota.live,6.290410959,31586.1716,0,0,5
8/1/2013,Startup,https://angel.co/company/vidflow,Oslo,Video Streaming,vidFlow,,780000,Nov-50,Seed,vidFlow.com,6.375342466,122346.3687,0,0,25
3/1/2013,Startup,https://angel.co/company/vidbid-1,New York City,,vidbid,,100000,10-Jan,Seed,vidbid.com,6.794520548,14717.74194,0,0,5
4/1/2014,Startup,https://angel.co/company/viperks-2,Cleveland,Loyalty Programs,viperks,,1200000,Nov-50,Seed,viperks.net,5.709589041,210172.7447,0,0,25
5/1/2013,Startup,https://angel.co/company/whodoyou,Tel Aviv-Yafo,Data Mining,whodoyou,,900000,10-Jan,Seed,whodoyou.com,6.62739726,135799.9173,0,0,5
6/1/2012,Startup,https://angel.co/company/wirelawyer,New York City,Lead Generation,wireLawyer,,25000,10-Jan,Seed,wirelawyer.com,7.542465753,3314.565928,0,0,5
4/1/2014,Startup,https://angel.co/company/woonder-1,Berlin,Custom Retail,woonder,,275000,10-Jan,Seed,woonder.de,5.709589041,48164.58733,0,0,5
3/1/2013,Startup,https://angel.co/company/work4ce-me,Santiago,Human Resources,work4ce.me,,40000,10-Jan,Seed,work4ce.me,6.794520548,5887.096774,0,0,5
4/1/2013,Startup,https://angel.co/company/www-girik-in,Hyderabad,Mobile Commerce,www.girik.in,,30000,Nov-50,Seed,girik.in,6.709589041,4471.21274,0,0,25
5/1/2015,Startup,https://angel.co/company/xpresstap,Silicon Valley,Mobile Commerce,xPressTap,,1000000,10-Jan,Seed,beta.xpresstap.com,4.62739726,216104.2037,0,0,5
2/1/2014,Startup,https://angel.co/company/zakipoint-health,Cambridge,Big Data Analytics,zakipoint health,,610000,10-Jan,Seed,zakipointhealth.com,5.871232877,103896.4069,0,0,5
10/1/2012,Startup,https://angel.co/company/zoomsquare,Berlin,Lead Generation,zoomsquare,,540000,Nov-50,Seed,zoomsquare.com,7.208219178,74914.48119,0,0,25
2/1/2014,Startup,https://angel.co/company/zoovu,London,Point of Sale,zoovu,,6000000,51-200,Series A,zoovu.com,5.871232877,1021931.871,1,0,125
3/1/2012,Startup,https://angel.co/company/entrobit-agora,Moscow,Wholesale,СentroBit Agora,,450000,Nov-50,Seed,centrobit.ru,7.794520548,57732.86467,0,0,25
10/1/2015,Startup,https://angel.co/company/stars-company,San Francisco,Music Services,★STARS★™★,,300000,10-Jan,Seed,stars.ng,4.208219178,71289.0625,0,0,5
